country,director,spine_number,title,url,year_of_release,aspect_ratio,blurb,cast,colour,credits,films_contained,formats,language,run_time,special_features,decade_of_release,dvd,bluray,english,boxset,boxsets_contained_in,available_individually,included_in_boxset,continent
France,Jean-Luc Godard,482.0,2 or 3 Things I Know About Her,https://www.criterion.com/films/1333-2-or-3-things-i-know-about-her,1967.0,2.35:1,"In 2 or 3 Things I Know About Her (2 ou 3 choses que je sais d'elle), Jean-Luc Godard beckons us ever closer, whispering in our ears as narrator. About what? Money, sex, fashion, the city, love, language, war: in a word, everything. Among the legendary French filmmaker's finest achievements, the film takes as its ostensible subject the daily life of Juliette Janson (Marina Vlady), a housewife from the Paris suburbs who prostitutes herself for extra money. Yet this is only a template for Godard to spin off into provocative philosophical tangents and gorgeous images. 2 or 3 Things I Know About Her is perhaps Godard's most revelatory look at consumer culture, shot in ravishing widescreen color by Raoul Coutard.","Marina Vlady, Anny Duperey, Joseph Gerhard, Roger Montsoret, Raoul Levy, Jean Narboni, Christophe Bourseiller",Color,Director Jean-Luc Godard Screenplay Jean-Luc Godard Based on an article by Catherine Vimenet Cinematography Raoul Coutard Sound Rene Levert Editing Francoise Collin Costumes Gitt Magrini Producer Anatole Dauman Producer Raoul Levy,2 or 3 Things I Know About Her,DVD,French,87.0,"New, restored high-definition digital transfer, Audio commentary featuring film scholar Adrian Martin, Archival television interviews: the first featuring actress Marina Vlady on the set of the film, the second with Jean-Luc Godard debating the subject of prostitution, New video interview with theater director Antoine Bourseiller, a friend of Godard's in the sixties, A visual essay cataloguing the multiple references in the film, Theatrical trailer, New and improved English subtitle translation, PLUS: An essay by film critic Amy Taubin and the letter that sparked the idea for the film, New, restored high-definition digital transfer, Audio commentary featuring film scholar Adrian Martin, Archival television interviews: the first featuring actress Marina Vlady on the set of the film, the second with Jean-Luc Godard debating the subject of prostitution, New video interview with theater director Antoine Bourseiller, a friend of Godard's in the sixties, A visual essay cataloguing the multiple references in the film, Theatrical trailer, New and improved English subtitle translation, PLUS: An essay by film critic Amy Taubin and the letter that sparked the idea for the film",1960.0,1,0,0,0,,1.0,0,Europe
United States,Delmer Daves,657.0,3:10 to Yuma,https://www.criterion.com/films/27910-3-10-to-yuma,1957.0,1.85:1,"In this beautifully shot, psychologically complex western, Van Heflin is a mild-mannered cattle rancher who takes on the task of shepherding a captured outlaw (played with cucumber-cool charisma by Glenn Ford) to the train that will deliver him to prison. This apparently simple mission turns into a nerve-racking cat-and-mouse game that tests each man's particular brand of honor. Based on a story by Elmore Leonard, 3:10 to Yuma is a thrilling, humane action movie, directed by the supremely talented studio filmmaker Delmer Daves with intense feeling and precision.","Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey",Black & White,Director Delmer Daves Produced by David Heilweil Screenplay Halsted Welles Based on a story by Elmore Leonard Director of photography Charles Lawton Jr. Gowns Jean Louis Music George Duning Art director Frank Hotaling Film editor Al Clark,3:10 to Yuma,"Blu-Ray, DVD",English,92.0,"New, restored 4K digital film transfer, with uncompressed monaural soundtrack on the Blu-ray edition, Alternate 5.1 surround soundtrack, presented in DTS-HD Master Audio on the Blu-ray edition, New interviews with author Elmore Leonard and actor Glenn Ford's son and biographer, Peter Ford, English subtitles for the deaf and hard of hearing, Plus: A booklet featuring a new essay by critic Kent Jones New cover by Gregory Manchess, New, restored 4K digital film transfer, with uncompressed monaural soundtrack on the Blu-ray edition, Alternate 5.1 surround soundtrack, presented in DTS-HD Master Audio on the Blu-ray edition, New interviews with author Elmore Leonard and actor Glenn Ford's son and biographer, Peter Ford, English subtitles for the deaf and hard of hearing, Plus: A booklet featuring a new essay by critic Kent Jones New cover by Gregory Manchess",1950.0,1,1,1,0,,1.0,0,North America
France,Louis Malle,327.0,3 Films by Louis Malle,https://www.criterion.com/boxsets/397-3-films-by-louis-malle,,,"Few directors have portrayed the agonies and epiphanies of growing up as poetically--and controversially--as Louis Malle. Laced with autobiographical details, Murmur of the Heart; Lacombe, Lucien; and Au revoir les enfants tell stories of youth, set against the tumult of World War II and postwar France. Tragic, amusing, and poignant, these three films are more than just coming-of-age stories. They are the director's ongoing response to a world gone wrong.",,,,"Au revoir les enfants, Murmur of the Heart, Lacombe, Lucien",DVD,,,"New, restored high-definition digital transfers, New interviews with actor Candice Bergen and biographer Pierre Billard *- Excerpts from a French TV program featuring the director on the sets of Murmur of the Heart and Lacombe, Lucien, Audio interviews with Malle from 1974, 1988, and 1990, The Immigrant, Charlie Chaplin's 1917 short comedy, featured in Au revoir les enfants, A profile of the provocative character of Joseph from Au revoir les enfants, created by filmmaker Guy Magen, in 2005, Original theatrical trailers, New and improved English subtitle translations, Essays by critics Michael Sragow, Pauline Kael, and Philip Kemp and historian Francis J. Murphy, as well as a filmography",,1,0,0,1,,,0,Europe
Italy,Roberto Rossellini,672.0,3 Films by Roberto Rossellini Starring Ingrid Bergman,https://www.criterion.com/boxsets/982-3-films-by-roberto-rossellini-starring-ingrid-bergman,,,"In the late 1940s, the incandescent Hollywood star Ingrid Bergman found herself so stirred by the revolutionary neorealist films of Roberto Rossellini that she sent the director a letter, introducing herself and offering her talents. The resulting collaboration produced a series of films that are works of both sociopolitical concern and metaphysical melodrama, each starring Bergman as a woman experiencing physical dislocation and psychic torment in postwar Italy. It also famously led to a scandalous affair and eventual marriage between filmmaker and star, and the focus on their personal lives in the press unfortunately overshadowed the extraordinary films they made together. Stromboli, Europe '51, and Journey to Italy are intensely moving portraits that reveal the director at his most emotional and the glamorous actress at her most anguished, and that capture them and the world around them in transition.",,,,"Journey to Italy, Europe '51, Stromboli","Blu-Ray, DVD",,,"New digital restorations of the English- and Italian-language versions of Stromboli and Europe '51 and of Journey to Italy, with uncompressed monaural soundtracks on the Blu-ray editions, Introductions to all three films by director Roberto Rossellini, Rossellini Under the Volcano, a 1998 documentary that returns to Stromboli fifty years after the making of the film, New interview with film historian Elena Dagrada on the different versions of Europe '51, Audio commentary on Journey to Italy by film scholar Laura Mulvey, Short film featuring footage of the Rossellinis during the production of Journey to Italy, New interviews with film critic Adriano Apra about all three films , Surprised by Death, a new visual essay by film critic James Quandt on the historical and artistic themes of the trilogy, Living and Departed, a new visual essay by Rossellini scholar Tag Gallagher on the evolution of the director's style in the trilogy, New interview with filmmaker Martin Scorsese, New interview with Rossellini and actress Ingrid Bergman's daughters, Ingrid Rossellini and Isabella Rossellini, Rossellini Through His Own Eyes, a 1992 documentary on the director's approach to cinema, New interview with G. Fiorella Mariani, Rossellini's niece, featuring Bergman's home movies, Ingrid Bergman Remembered, a 1995 documentary on the actress's life, narrated by her daughter Pia Lindstrom, My Dad Is 100 Years Old, a 2005 short film directed by Guy Maddin and starring Isabella Rossellini , The Chicken, a 1952 short film directed by Rossellini and starring Bergman, New English subtitle translations , PLUS: A booklet featuring essays by Richard Brody, Dina Iordanova, Dagrada, Fred Camper, and Paul Thomas; letters between Bergman and Rossellini; a 1950 article by Rossellini; and two interviews with the director, from 1954 and 1963",,1,1,0,1,,,0,Europe
United States,Josef von Sternberg,528.0,3 Silent Classics by Josef von Sternberg,https://www.criterion.com/boxsets/744-3-silent-classics-by-josef-von-sternberg,,,"Vienna-born, New York-raised Josef von Sternberg directed some of the most influential, stylish dramas ever to come out of Hollywood. Though best known for his star-making collaborations with Marlene Dietrich, von Sternberg began his career during the final years of the silent era, dazzling audiences and critics with his films' dark visions and innovative cinematography. The titles in this collection, made on the cusp of the sound age, are three of von Sternberg's greatest works, gritty evocations of gangster life (Underworld), the Russian Revolution (The Last Command), and working-class desperation (The Docks of New York) rendered as shadowy movie spectacle.",,,,"The Docks of New York, The Last Command, Underworld",Blu-Ray,,,"High-definition digital restorations of all three films, Six scores: by Robert Israel for all three films, Alloy Orchestra for Underworld and The Last Command, and Donald Sosin and Joanna Seaton for The Docks of New York, Two video essays from 2010, one by UCLA film professor Janet Bergstrom and the other by film scholar Tag Gallagher, Swedish television interview from 1968 with director Josef von Sternberg, PLUS: A booklet featuring essays by critic Geoffrey O'Brien, scholar Anton Kaes, and author and critic Luc Sante; notes on the scores by the composers; Ben Hecht's original treatment for Underworld; and an excerpt from von Sternberg's 1965 autobiography, Fun in a Chinese Laundry, on actor Emil Jannings",,0,1,0,1,,,0,North America
United States,Robert Altman,230.0,3 Women,https://www.criterion.com/films/712-3-women,1977.0,2.35:1,"In a dusty, underpopulated California resort town, a naive southern waif, Pinky Rose (Sissy Spacek), idolizes and befriends her fellow nurse, the would-be sophisticate and ""thoroughly modern"" Millie Lammoreaux (Shelley Duvall). When Millie takes Pinky in as her roommate, Pinky's hero worship evolves into something far stranger and more sinister than either could have anticipated. Featuring brilliant performances from Spacek and Duvall, this dreamlike masterpiece from Robert Altman careens from the humorous to the chilling to the surreal, resulting in one of the most unusual and compelling films of the 1970s.","Shelley Duvall, Sissy Spacek, Janice Rule, Robert Fortier, Ruth Nelson, John Cromwell, Sierra Pecheur, Craig Richard Nelson, Maysie Hoy, Belita Moreno, Leslie Ann Hudson, Patricia Ann Hudson",Color,Director Robert Altman Writer Robert Altman Producer Robert Altman Director of photography Chuck Rosher Music Gerald Busby Editing Dennis Hill Art director James D. Vance Production executive / First assistant director Tommy Thompson Associate producer Robert Eggenweiller Associate producers Scott Bushnell Murals Bodhi Wind,3 Women,"Blu-Ray, DVD",English,124.0,"New high-definition digital restoration, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary featuring director Robert Altman, Galleries of rare production and publicity stills, Original theatrical trailers and television spots, English subtitles for the deaf and hard of hearing, PLUS: A new essay by critic David Sterritt, New high-definition digital restoration, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary featuring director Robert Altman, Galleries of rare production and publicity stills, Original theatrical trailers and television spots, English subtitles for the deaf and hard of hearing, PLUS: A new essay by critic David Sterritt",1970.0,1,1,1,0,,1.0,0,North America
France,Agnes Varda,418.0,4 by Agnes Varda,https://www.criterion.com/boxsets/8-4-by-agn-s-varda,,,"Agnes Varda used the skills she honed early in her career as a photographer to create some of the most nuanced, thought-provoking films of the past fifty years. She is widely believed to have presaged the French new wave with her first film, La Pointe Courte, long before creating one of the movement's benchmarks, Cleo from 5 to 7 (Cleo de 5 a 7). Later, with Le bonheur and Vagabond (Sans toit ni loi), Varda further shook up art-house audiences, challenging bourgeois codes with her inscrutable characters and offering effortlessly beautiful compositions and editing. Now working largely as a documentarian, Varda remains one of the essential cinematic poets of our time and a true visionary.",,,,"Le bonheur, La Pointe Courte, Cleo from 5 to 7, Vagabond",DVD,,,"New, restored digital transfers, Three short films by Varda: L'opera Mouffe (1958), Du cote de la cote (1958), and Les fiances du pont Macdonald (1961), On La Pointe Courte: new video interview with Varda; excerpts from a 1964 episode of the television series Cineastes de notre temps, in which Varda discusses her early career, On Cleo from 5 to 7: documentary from 2005 on the making of the film; 2005 short film retracing Cleo's steps through Paris; Varda speaking with Madonna about the film in 1993, On Le bonheur: 2006 featurettes with the three actors from the film; discussion about the film from 2006 between four intellectuals; footage of Varda on set; 1998 interview with Varda, On Vagabond: 2003 documentary on the making of the film; conversation from 2003 between Varda and composer Joanna Bruzdowicz; 1986 radio interview with Varda and writer Nathalie Sarraute, who inspired the film, Theatrical trailers, PLUS: New essays by Chris Darke, Adrian Martin, Amy Taubin, and Ginette Vincendeau, as well as a foreword by Varda on each film",,1,0,0,1,,,0,Europe
Romania,Cristian Mungiu,958.0,"4 Months, 3 Weeks and 2 Days",https://www.criterion.com/films/28617-4-months-3-weeks-and-2-days,2007.0,2.35:1,"Romanian filmmaker Cristian Mungiu shot to international prominence with this rigorously realistic Palme d'Or-winning second feature. In 1987, during the dictatorship of Nicolae Ceausescu, college roommates Otilia (Anamaria Marinca) and Gabita (Laura Vasiliu) seek an illegal abortion for Gabita. In unflinching but empathetic detail, the film recounts the events of twenty-four perilous hours in their lives, culminating in their encounter with a manipulative and menacing abortionist (Vlad Ivanov). With powerful performances that accentuate the characters' flawed humanity, 4 Months, 3 Weeks and 2 Days is a gutting account of the impossible choices women face when taking control of their bodies means breaking the law.","Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean, Luminita Gheorghiu",Color,Director Cristian Mungiu Written by Cristian Mungiu Produced by Cristian Mungiu Produced by Oleg Mutu Coproducer Alexandru Teodorescu Associate producer Philippe Avril Director of photography Oleg Mutu Production designer Mihaela Poenaru Film editor Dana Bunescu Sound Cristinel Sirli,"4 Months, 3 Weeks and 2 Days","Blu-Ray, DVD",Romanian,113.0,"New 4K digital restoration, supervised and approved by director Cristian Mungiu, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray, New interview with Mungiu, New interview with film critic Jay Weissberg on the New Romanian Cinema, The Romanian Tour, a short documentary from 2007 on the film's reception in Romania, Press conference from the 2007 Cannes Film Festival, featuring Mungiu; director of photography Oleg Mutu; and actors Laura Vasiliu, Vlad Ivanov, and Alexandru Potocean, Alternate and deleted scenes, Trailer, New English subtitle translation, PLUS: An essay by critic Ella Taylor, New 4K digital restoration, supervised and approved by director Cristian Mungiu, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray, New interview with Mungiu, New interview with film critic Jay Weissberg on the New Romanian Cinema, The Romanian Tour, a short documentary from 2007 on the film's reception in Romania, Press conference from the 2007 Cannes Film Festival, featuring Mungiu; director of photography Oleg Mutu; and actors Laura Vasiliu, Vlad Ivanov, and Alexandru Potocean, Alternate and deleted scenes, Trailer, New English subtitle translation, PLUS: An essay by critic Ella Taylor",2000.0,1,1,0,0,,1.0,0,Europe
Italy,Federico Fellini,140.0,8 1/2,https://www.criterion.com/films/150-8-1-2,1963.0,1.85:1,"One of the greatest films about film ever made, Federico Fellini's 8 1/2 marks the moment when the director's always-personal approach to filmmaking fully embraced self-reflexivity, pioneering a stream-of-consciousness style that darts exuberantly among flashbacks, dream sequences, and carnivalesque reality, and turning one man's artistic crisis into a grand epic of the cinema. Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life, as he struggles against creative block and helplessly juggles the women in his life--including Anouk Aimee, Sandra Milo, and Claudia Cardinale. An early working title for 8 1/2 was The Beautiful Confusion, and Fellini's masterpiece is exactly that: a shimmering dream, a circus, and a magic act.","Marcello Mastroianni, Bruno Agostini, Sandra Milo, Anouk Aimee, Barbara Steele, Caterina Boratto, Claudia Cardinale",Black & White,Producer Angelo Rizzoli Jr. Cinematography Gianni Di Venanzo Screenplay Ennio Flaiano Screenplay Federico Fellini Screenplay Tullio Pinelli Screenplay Brunello Rondi Music Nino Rota Director Federico Fellini Production design Piero Gherardi Editing Leo Catozzo Sound Alberto Bartolomei Sound Mario Faraoni,8 1/2,"Blu-Ray, DVD","English, French, Italian, German",138.0,"High-definition digital transfer of restored film elements, with uncompressed monaural soundtrack on Blu-ray edition, Introduction by filmmaker Terry Gilliam, Audio commentary featuring film critic and Fellini friend Gideon Bachmann and NYU film professor Antonio Monda, High-definition digital transfer of a new restoration of Fellini: A Director's Notebook, a 52-minute film by Federico Fellini, The Last Sequence, a new 52-minute documentary on Fellini's lost alternate ending for 8 1/2 (Blu-ray only), Nino Rota: Between Cinema and Concert, a compelling 48-minute documentary about Fellini's longtime composer, Interviews with actress Sandra Milo, director Lina Wertmuller, and cinematographer Vittorio Storaro, Rare photographs from Bachmann's collection, Gallery of behind-the-scenes and production photos, U.S. theatrical trailer, New and improved English subtitle translation, PLUS: A booklet featuring writings by Fellini and essays by critics Tullio Kezich and Alexander Sesonske , High-definition digital transfer of restored film elements, with uncompressed monaural soundtrack on Blu-ray edition, Introduction by filmmaker Terry Gilliam, Audio commentary featuring film critic and Fellini friend Gideon Bachmann and NYU film professor Antonio Monda, High-definition digital transfer of a new restoration of Fellini: A Director's Notebook, a 52-minute film by Federico Fellini, The Last Sequence, a new 52-minute documentary on Fellini's lost alternate ending for 8 1/2 (Blu-ray only), Nino Rota: Between Cinema and Concert, a compelling 48-minute documentary about Fellini's longtime composer, Interviews with actress Sandra Milo, director Lina Wertmuller, and cinematographer Vittorio Storaro, Rare photographs from Bachmann's collection, Gallery of behind-the-scenes and production photos, U.S. theatrical trailer, New and improved English subtitle translation, PLUS: A booklet featuring writings by Fellini and essays by critics Tullio Kezich and Alexander Sesonske",1960.0,1,1,1,0,,1.0,0,Europe
United States,Sidney Lumet,591.0,12 Angry Men,https://www.criterion.com/films/27871-12-angry-men,1957.0,1.66:1,"12 Angry Men, by Sidney Lumet, may be the most radical courtroom drama in cinema history. A behind-closed-doors look at the American legal system that is as riveting as it is spare, this iconic adaptation of Reginald Rose's teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room. Lumet's electrifying snapshot of 1950s America on the verge of change is one of the great feature film debuts.","Martin Balsam, John Fiedler, Lee J. Cobb, E. G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber",Black & White,Director Sidney Lumet Writer Reginald Rose Producer Henry Fonda Producer Reginald Rose Associate producer George Justin Music Kenyon Hopkins Cinematographer Boris Kaufman Editor Carl Lerner Art director Robert Markel Sound James A. Gleason Makeup Herman Buchman,12 Angry Men,"Blu-Ray, DVD",English,96.0,"New high-definition digital restoration, with uncompressed monaural soundtrack on the Blu-ray edition, Frank Schaffner's 1955 teleplay of 12 Angry Men, from the series Studio One, featuring an introduction by Ron Simon, curator at the Paley Center for Media, Production history of 12 Angry Men, from teleplay to big-screen classic, Archival interviews with director Sidney Lumet, New interview with screenwriter Walter Bernstein about Lumet, New interview with Simon about writer Reginald Rose, Tragedy in a Temporary Town (1956), a teleplay directed by Lumet and written by Rose, New interview with cinematographer John Bailey about director of photography Boris Kaufman, Original theatrical trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring a new essay by writer and law professor Thane Rosenbaum , New high-definition digital restoration, with uncompressed monaural soundtrack on the Blu-ray edition, Frank Schaffner's 1955 teleplay of 12 Angry Men, from the series Studio One, featuring an introduction by Ron Simon, curator at the Paley Center for Media, Production history of 12 Angry Men, from teleplay to big-screen classic, Archival interviews with director Sidney Lumet, New interview with screenwriter Walter Bernstein about Lumet, New interview with Simon about writer Reginald Rose, Tragedy in a Temporary Town (1956), a teleplay directed by Lumet and written by Rose, New interview with cinematographer John Bailey about director of photography Boris Kaufman, Original theatrical trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring a new essay by writer and law professor Thane Rosenbaum",1950.0,1,1,1,0,,1.0,0,North America
