lemma,count
love,250
story,249
performance,243
set,232
play,227
american,227
woman,226
great,225
filmmaker,205
tale,181
war,178
family,177
follow,170
become,167
career,164
turn,161
movie,156
portrait,150
include,149
comedy,143
good,142
drama,141
live,136
actor,135
whose,133
bring,130
french,128
direct,127
three,127
,126
early,124
character,124
classic,121
ever,121
screen,121
hollywood,119
create,117
present,115
shoot,115
century,113
documentary,111
cinematic,110
art,109
jean,109
novel,109
series,108
cast,108
begin,107
role,105
masterpiece,105
city,103
artist,101
win,101
legendary,100
age,99
wife,98
force,97
political,96
international,95
death,93
black,92
an,92
human,91
adaptation,91
social,90
oscar,90
de,90
together,89
decade,89
long,89
relationship,87
home,87
bergman,87
master,87
debut,87
old,87
visual,86
personal,86
romantic,84
japanese,84
class,83
town,82
journey,82
four,81
award,80
emotional,80
era,80
style,80
late,80
remain,79
release,79
vision,79
history,78
john,78
lead,78
romance,77
writer,77
father,77
yet,76
beautiful,76
end,76
leave,75
british,75
base,75
child,75
epic,74
move,73
score,72
back,72
face,72
help,71
academy,71
beloved,71
friend,70
small,70
return,70
cinematography,70
modern,68
among,68
five,68
experience,68
past,68
crime,67
dream,67
country,66
mother,66
foundation,66
struggle,66
society,66
camera,66
show,66
form,65
true,65
self,65
depiction,65
part,65
son,65
after,64
power,64
image,64
white,64
study,64
result,64
music,64
capture,64
america,63
contemporary,63
ii,63
final,63
action,62
thriller,62
comic,62
wave,62
husband,62
boy,62
reality,60
place,60
scene,60
murder,60
silent,59
dark,59
meet,59
high,59
fall,58
though,58
melodrama,58
couple,58
big,58
heart,58
humor,57
original,57
studio,57
draw,57
beauty,57
effect,57
village,56
hit,56
eye,56
last,55
group,55
along,55
sound,55
japan,55
genre,55
girl,54
affair,54
vivid,54
restore,54
york,54
violence,54
paris,54
real,53
version,53
marriage,53
narrative,53
former,53
mysterious,53
brilliant,52
popular,52
second,52
major,52
full,52
landscape,51
filmmake,51
provide,51
daughter,51
night,51
italian,51
unforgettable,51
cut,51
define,51
production,50
mark,50
cinematographer,50
never,50
may,50
richard,50
france,50
around,49
trilogy,49
d,49
grow,49
try,49
search,49
color,49
fantasy,48
travel,48
horror,48
culture,48
stage,48
brother,48
controversial,48
discover,48
course,48
postwar,47
lover,47
german,47
offer,47
project,47
craft,47
adventure,47
remarkable,47
unique,47
name,47
intimate,47
attempt,47
support,46
tragic,46
fiction,46
paul,46
short,46
reveal,46
david,45
moment,45
rich,45
brilliantly,45
zatoichi,45
middle,45
von,45
sister,45
sexual,45
soon,45
collaboration,45
noir,45
nature,44
criterion,44
another,44
close,44
inspire,44
put,44
six,44
viewer,44
shot,44
sex,43
adapt,43
theater,43
sixty,43
battle,43
run,43
figure,43
success,43
hope,43
iconic,43
twenty,43
musical,43
house,42
soul,42
moral,42
deeply,42
l,42
piece,42
still,42
exploration,42
generation,42
funny,42
ozu,42
television,42
robert,42
desire,42
restoration,42
must,42
audience,42
simple,41
influential,41
cannes,41
varda,41
special,41
independent,41
stunning,41
kurosawa,41
legend,41
visually,41
detail,41
pierre,41
s,40
james,40
free,40
collection,40
act,40
change,40
lose,40
acclaim,40
street,40
winner,40
marry,40
tragedy,40
haunt,39
proud,39
dare,39
extraordinary,39
tour,39
emotionally,39
picture,39
establish,39
poetic,38
escape,38
twentieth,38
nearly,38
mix,38
subject,38
every,38
peter,38
radical,38
criminal,38
call,38
point,37
body,37
george,37
police,37
complex,37
michael,37
u,37
female,37
triumph,37
island,37
satire,37
behind,37
singular,37
grip,36
fine,36
london,36
king,36
gangster,36
influence,36
voice,36
spirit,36
mind,36
seem,36
student,36
sense,36
poignant,36
breakthrough,36
provocative,36
nominate,36
plan,36
rock,35
often,35
local,35
charm,35
identity,35
deliver,35
upon,35
pair,35
artistic,35
encounter,34
violent,34
send,34
open,34
hilarious,34
meditation,34
explore,34
feel,34
exquisite,34
road,34
producer,34
celebrate,34
desperate,34
tribute,34
actress,34
footage,34
landmark,34
psychological,33
la,33
head,33
design,33
united,33
crew,33
dazzle,33
western,33
working,33
famous,33
astonishing,33
across,33
thrill,33
samurai,33
drive,33
association,33
spiritual,33
script,33
increasingly,33
plot,33
produce,33
chronicle,33
realism,32
continue,32
hour,32
everyday,32
icon,32
sensation,32
fight,32
childhood,32
creation,32
kill,32
technicolor,32
away,32
theme,32
photography,32
strike,32
perhaps,32
order,31
medium,31
humanity,31
stand,31
prize,31
festival,31
audacious,31
song,31
little,31
gorgeous,31
surreal,31
talent,31
combine,31
henry,31
height,31
fellow,31
however,31
focus,31
jack,31
rare,30
states,30
friendship,30
amid,30
sequence,30
intense,30
control,30
period,30
jacques,30
later,30
title,30
memory,30
powerful,30
enigmatic,30
tender,29
emerge,29
monster,29
inventive,29
engage,29
band,29
groundbreake,29
trouble,29
wildly,29
youth,29
wild,29
south,29
foreign,29
path,29
center,29
fate,29
showcase,29
dialogue,29
commentary,29
michel,28
tear,28
wit,28
evocation,28
bear,28
light,28
soundtrack,28
di,28
charles,28
ray,28
location,28
movement,28
trip,28
right,28
consider,28
transform,28
blind,28
authority,28
cult,28
visionary,28
hand,28
nazi,28
land,28
school,28
evocative,28
community,28
louis,28
pop,28
spend,28
future,28
dead,27
hard,27
down,27
parent,27
write,27
before,27
killer,27
join,27
seek,27
poet,27
widow,27
underworld,27
revenge,27
over,27
catch,27
today,27
politic,27
break,27
secret,27
profound,27
receive,27
box,27
language,27
mystery,26
chaplin,26
obsession,26
le,26
malle,26
collect,26
military,26
team,26
clan,26
prove,26
lee,26
elegant,26
money,26
experiment,26
worker,26
kong,26
singer,26
chance,26
william,26
daily,26
max,26
kind,26
grand,26
passion,26
science,26
tokyo,26
cineteca,26
chart,26
auteur,26
decide,26
screenplay,25
line,25
devastating,25
shocking,25
conflict,25
member,25
depict,25
remote,25
complete,25
physical,25
collaborator,25
bologna,25
italy,25
profoundly,25
fascinating,25
delight,25
freedom,25
ingmar,25
renoir,25
poetry,25
germany,25
attack,25
lonely,25
investigation,25
deep,25
soviet,25
hero,25
compelling,25
england,25
code,25
creative,25
element,25
ultimately,25
always,25
nineteenth,25
bourgeois,24
domestic,24
imagery,24
rural,24
keep,24
rise,24
photograph,24
slapstick,24
corrupt,24
since,24
surround,24
book,24
apart,24
truth,24
anna,24
ingrid,24
challenge,24
claude,24
robeson,24
masterwork,24
state,24
despite,24
english,24
entertain,24
golden,24
train,24
swordsman,24
launch,24
single,24
soldier,24
melancholy,24
touch,24
earth,24
honor,24
low,24
mifune,24
grace,24
brutal,24
fellini,24
law,23
hong,23
godard,23
entertaining,23
realize,23
achievement,23
ritrovata,23
national,23
existential,23
crisis,23
witty,23
fassbinder,23
company,23
agnes,23
match,23
thirty,23
arrive,23
immagine,23
commit,23
charge,23
process,23
sharp,23
trio,23
innovative,23
die,23
track,23
shadow,23
bond,23
examination,23
off,23
introduce,23
much,23
critic,23
abandon,23
video,23
stranger,23
wealthy,23
pure,23
view,22
tension,22
elegantly,22
game,22
fifty,22
event,22
without,22
next,22
office,22
already,22
budget,22
job,22
depth,22
unfold,22
nothing,22
re,22
west,22
idiosyncratic,22
start,22
subversive,22
composer,22
important,22
alexander,22
widely,22
ex,22
rome,22
passionate,22
testament,22
expression,22
evoke,22
prison,22
funding,22
witness,22
sexuality,22
imagination,22
unexpected,22
ruthless,22
cultural,22
reach,22
bold,22
side,22
seemingly,22
perform,22
own,22
